epoch,avg_loss,best_loss,current_lr,no_improve_count,timestamp
0,0.0611387948943302,0.0611387948943302,0.0001,0,24-08-25-16-09-35
1,0.03626300886733225,0.03626300886733225,0.0001,0,24-08-25-16-20-43
2,0.03442427535820752,0.03442427535820752,0.0001,0,24-08-25-16-31-51
3,0.03255894583289046,0.03255894583289046,0.0001,0,24-08-25-16-42-59
4,0.03149317999975756,0.03149317999975756,0.0001,0,24-08-25-16-54-08
5,0.0306223908875545,0.0306223908875545,0.0001,0,24-08-25-17-05-16
6,0.02911425306950696,0.02911425306950696,0.0001,0,24-08-25-17-16-24
7,0.029162946295109578,0.02911425306950696,0.0001,1,24-08-25-17-27-21
8,0.028345688838046043,0.028345688838046043,0.0001,0,24-08-25-17-38-30
9,0.028394607751397415,0.028345688838046043,0.0001,1,24-08-25-17-49-26
10,0.028237629709416068,0.028237629709416068,0.0001,0,24-08-25-18-00-35
11,0.027855083393806126,0.027855083393806126,0.0001,0,24-08-25-18-11-43
12,0.027758931807940826,0.027758931807940826,0.0001,0,24-08-25-18-22-51
13,0.027538181333104147,0.027538181333104147,0.0001,0,24-08-25-18-33-59
14,0.027472578205866738,0.027472578205866738,0.0001,0,24-08-25-18-45-07
15,0.027409935947449414,0.027409935947449414,0.0001,0,24-08-25-18-56-16
16,0.0264996458865935,0.0264996458865935,0.0001,0,24-08-25-19-07-24
17,0.027555107416264945,0.0264996458865935,0.0001,1,24-08-25-19-18-21
18,0.027113598974770867,0.0264996458865935,0.0001,2,24-08-25-19-29-18
19,0.027055327209236566,0.0264996458865935,0.0001,3,24-08-25-19-40-15
20,0.027133629278672744,0.0264996458865935,0.0001,4,24-08-25-19-51-13
21,0.026176473186358636,0.026176473186358636,0.0001,0,24-08-25-20-02-22
22,0.02648869061958976,0.026176473186358636,0.0001,1,24-08-25-20-13-18
23,0.026727275737910533,0.026176473186358636,0.0001,2,24-08-25-20-24-15
24,0.02562816275371006,0.02562816275371006,0.0001,0,24-08-25-20-35-25
25,0.025971060535201103,0.02562816275371006,0.0001,1,24-08-25-20-46-22
26,0.0261437040544115,0.02562816275371006,0.0001,2,24-08-25-20-57-18
27,0.025639880057395203,0.02562816275371006,0.0001,3,24-08-25-21-08-14
28,0.02623449706030078,0.02562816275371006,0.0001,4,24-08-25-21-19-10
29,0.025142861141765026,0.025142861141765026,0.0001,0,24-08-25-21-30-19
30,0.025833551410236397,0.025142861141765026,0.0001,1,24-08-25-21-41-17
31,0.026425185958272777,0.025142861141765026,0.0001,2,24-08-25-21-52-14
32,0.025587999568728266,0.025142861141765026,0.0001,3,24-08-25-22-03-12
33,0.02558205860090675,0.025142861141765026,0.0001,4,24-08-25-22-14-09
34,0.026129605297523086,0.025142861141765026,0.0001,5,24-08-25-22-25-06
35,0.025547112406515225,0.025142861141765026,0.0001,6,24-08-25-22-36-04
36,0.024228350053250323,0.024228350053250323,5e-05,0,24-08-25-22-47-13
37,0.02491857352032093,0.024228350053250323,5e-05,1,24-08-25-22-58-09
38,0.02504029010218801,0.024228350053250323,5e-05,2,24-08-25-23-09-07
39,0.024975503959460185,0.024228350053250323,5e-05,3,24-08-25-23-20-05
40,0.024764678074687255,0.024228350053250323,5e-05,4,24-08-25-23-31-03
41,0.02505903954486712,0.024228350053250323,5e-05,5,24-08-25-23-42-00
42,0.02538405550608877,0.024228350053250323,5e-05,6,24-08-25-23-52-58
43,0.02484319260196935,0.024228350053250323,2.5e-05,7,25-08-25-00-03-55
44,0.024242584461389924,0.024228350053250323,2.5e-05,8,25-08-25-00-14-53
45,0.02418225166889897,0.02418225166889897,2.5e-05,0,25-08-25-00-26-02
46,0.02430826831419108,0.02418225166889897,2.5e-05,1,25-08-25-00-36-58
47,0.02383336144144414,0.02383336144144414,2.5e-05,0,25-08-25-00-48-08
48,0.02443432654440403,0.02383336144144414,2.5e-05,1,25-08-25-00-59-05
49,0.02358865361401695,0.02358865361401695,2.5e-05,0,25-08-25-01-10-14
50,0.024591806744312633,0.02358865361401695,2.5e-05,1,25-08-25-01-21-11
51,0.02422190419645631,0.02358865361401695,2.5e-05,2,25-08-25-01-32-09
52,0.024245954199286643,0.02358865361401695,2.5e-05,3,25-08-25-01-43-06
53,0.024477488197095228,0.02358865361401695,2.5e-05,4,25-08-25-01-54-04
54,0.02401432787880185,0.02358865361401695,2.5e-05,5,25-08-25-02-05-01
55,0.024295982937765075,0.02358865361401695,2.5e-05,6,25-08-25-02-15-58
56,0.02369667462491816,0.02358865361401695,1.25e-05,7,25-08-25-02-26-56
57,0.023906199270044455,0.02358865361401695,1.25e-05,8,25-08-25-02-37-53
58,0.024246172772313,0.02358865361401695,1.25e-05,9,25-08-25-02-48-51
59,0.02378219923263532,0.02358865361401695,1.25e-05,10,25-08-25-02-59-48
