epoch,avg_loss,best_loss,current_lr,no_improve_count,timestamp
0,0.036205768879619425,0.036205768879619425,0.0001,0,26-08-25-13-49-50
1,0.01880586487861001,0.01880586487861001,0.0001,0,26-08-25-14-00-34
2,0.017284696335467743,0.017284696335467743,0.0001,0,26-08-25-14-11-18
3,0.01677892199557391,0.01677892199557391,0.0001,0,26-08-25-14-22-01
4,0.015607871052954579,0.015607871052954579,0.0001,0,26-08-25-14-32-45
5,0.015344851501868106,0.015344851501868106,0.0001,0,26-08-25-14-43-29
6,0.015480318435438676,0.015344851501868106,0.0001,1,26-08-25-14-54-02
7,0.014526900601766101,0.014526900601766101,0.0001,0,26-08-25-15-04-46
8,0.014984084279414674,0.014526900601766101,0.0001,1,26-08-25-15-15-18
9,0.014671001165996131,0.014526900601766101,0.0001,2,26-08-25-15-25-51
10,0.013779779332318868,0.013779779332318868,0.0001,0,26-08-25-15-36-35
11,0.0141895117249951,0.013779779332318868,0.0001,1,26-08-25-15-47-07
12,0.014064844163618546,0.013779779332318868,0.0001,2,26-08-25-15-57-40
13,0.013755749435815232,0.013755749435815232,0.0001,0,26-08-25-16-08-23
14,0.013919429939600377,0.013755749435815232,0.0001,1,26-08-25-16-18-55
15,0.013762861836556112,0.013755749435815232,0.0001,2,26-08-25-16-29-28
16,0.013160798382610665,0.013160798382610665,0.0001,0,26-08-25-16-40-13
17,0.01300222261084673,0.01300222261084673,0.0001,0,26-08-25-16-50-56
18,0.01308562109624836,0.01300222261084673,0.0001,1,26-08-25-17-01-28
19,0.013682661670878588,0.01300222261084673,0.0001,2,26-08-25-17-12-00
20,0.01366312718226618,0.01300222261084673,0.0001,3,26-08-25-17-22-33
21,0.013046122004747304,0.01300222261084673,0.0001,4,26-08-25-17-33-05
22,0.012659082799296811,0.012659082799296811,0.0001,0,26-08-25-17-43-50
23,0.012893660803652892,0.012659082799296811,0.0001,1,26-08-25-17-54-22
24,0.013176174889516916,0.012659082799296811,0.0001,2,26-08-25-18-04-55
25,0.012655803366668807,0.012655803366668807,0.0001,0,26-08-25-18-15-39
26,0.012350381284179094,0.012350381284179094,0.0001,0,26-08-25-18-26-23
27,0.012679725397238144,0.012350381284179094,0.0001,1,26-08-25-18-36-56
28,0.012551019088950852,0.012350381284179094,0.0001,2,26-08-25-18-47-29
29,0.012128966276462962,0.012128966276462962,0.0001,0,26-08-25-18-58-14
30,0.012792236523071552,0.012128966276462962,0.0001,1,26-08-25-19-08-47
31,0.012449290933753219,0.012128966276462962,0.0001,2,26-08-25-19-19-20
32,0.013060341464225531,0.012128966276462962,0.0001,3,26-08-25-19-29-53
33,0.012771617539276121,0.012128966276462962,0.0001,4,26-08-25-19-40-26
34,0.012699668986108918,0.012128966276462962,0.0001,5,26-08-25-19-50-58
35,0.012713142102789789,0.012128966276462962,0.0001,6,26-08-25-20-01-31
36,0.011747050191889685,0.011747050191889685,5e-05,0,26-08-25-20-12-16
37,0.012175656085441005,0.011747050191889685,5e-05,1,26-08-25-20-22-48
38,0.011990470731682308,0.011747050191889685,5e-05,2,26-08-25-20-33-21
39,0.012004346987644568,0.011747050191889685,5e-05,3,26-08-25-20-43-54
40,0.012429999092037179,0.011747050191889685,5e-05,4,26-08-25-20-54-27
41,0.012170899476600425,0.011747050191889685,5e-05,5,26-08-25-21-05-00
42,0.01222182604745103,0.011747050191889685,5e-05,6,26-08-25-21-15-33
43,0.012061764330012466,0.011747050191889685,2.5e-05,7,26-08-25-21-26-06
44,0.012104281966254347,0.011747050191889685,2.5e-05,8,26-08-25-21-36-39
45,0.012129226028440826,0.011747050191889685,2.5e-05,9,26-08-25-21-47-12
46,0.01179857568082207,0.011747050191889685,2.5e-05,10,26-08-25-21-57-45
