epoch,avg_loss,best_loss,current_lr,no_improve_count,timestamp
0,0.2641016302555799,0.2641016302555799,0.0001,0,23-08-25-14-15-25
1,0.10344415599480271,0.10344415599480271,0.0001,0,23-08-25-14-15-48
2,0.0820598680973053,0.0820598680973053,0.0001,0,23-08-25-14-16-10
3,0.07342162499949335,0.07342162499949335,0.0001,0,23-08-25-14-16-33
4,0.06814532903954387,0.06814532903954387,0.0001,0,23-08-25-14-16-56
5,0.06426572179980576,0.06426572179980576,0.0001,0,23-08-25-14-17-19
6,0.06254907141253352,0.06254907141253352,0.0001,0,23-08-25-14-17-42
7,0.060944495517760516,0.060944495517760516,0.0001,0,23-08-25-14-18-04
8,0.05917664024420083,0.05917664024420083,0.0001,0,23-08-25-14-18-27
9,0.05849596420675516,0.05849596420675516,0.0001,0,23-08-25-14-18-50
10,0.05686048815958202,0.05686048815958202,0.0001,0,23-08-25-14-19-12
11,0.05653817419335246,0.05653817419335246,0.0001,0,23-08-25-14-19-35
12,0.056138464024290444,0.056138464024290444,0.0001,0,23-08-25-14-19-57
13,0.05468582487478852,0.05468582487478852,0.0001,0,23-08-25-14-20-20
14,0.05430927135422826,0.05430927135422826,0.0001,0,23-08-25-14-20-43
15,0.05459075768664479,0.05430927135422826,0.0001,1,23-08-25-14-21-05
16,0.0524723183689639,0.0524723183689639,0.0001,0,23-08-25-14-21-29
17,0.05089922440983355,0.05089922440983355,0.0001,0,23-08-25-14-21-52
18,0.05162570327147841,0.05089922440983355,0.0001,1,23-08-25-14-22-14
19,0.05262835664488375,0.05089922440983355,0.0001,2,23-08-25-14-22-36
20,0.05125576025620103,0.05089922440983355,0.0001,3,23-08-25-14-22-58
21,0.051124794986099,0.05089922440983355,0.0001,4,23-08-25-14-23-20
22,0.050395709738135334,0.050395709738135334,0.0001,0,23-08-25-14-23-43
23,0.048507098264992235,0.048507098264992235,0.0001,0,23-08-25-14-24-05
24,0.0499764969330281,0.048507098264992235,0.0001,1,23-08-25-14-24-28
25,0.04900437681097537,0.048507098264992235,0.0001,2,23-08-25-14-24-50
26,0.04899638674780726,0.048507098264992235,0.0001,3,23-08-25-14-25-12
27,0.04839896223880351,0.04839896223880351,0.0001,0,23-08-25-14-25-35
28,0.04878339442797005,0.04839896223880351,0.0001,1,23-08-25-14-25-57
29,0.04678259228635579,0.04678259228635579,0.0001,0,23-08-25-14-26-20
30,0.04722286045923829,0.04678259228635579,0.0001,1,23-08-25-14-26-42
31,0.04741079382225871,0.04678259228635579,0.0001,2,23-08-25-14-27-05
32,0.04619885619543493,0.04619885619543493,0.0001,0,23-08-25-14-27-27
33,0.04618089166842401,0.04618089166842401,0.0001,0,23-08-25-14-27-50
34,0.046318285102024674,0.04618089166842401,0.0001,1,23-08-25-14-28-12
35,0.04628638087585568,0.04618089166842401,0.0001,2,23-08-25-14-28-37
36,0.045939271950162945,0.045939271950162945,0.0001,0,23-08-25-14-29-00
37,0.04534515534155071,0.04534515534155071,0.0001,0,23-08-25-14-29-22
38,0.04387011243123561,0.04387011243123561,0.0001,0,23-08-25-14-29-45
39,0.04481932095717639,0.04387011243123561,0.0001,1,23-08-25-14-30-08
40,0.04464882420934737,0.04387011243123561,0.0001,2,23-08-25-14-30-30
41,0.04430018964130431,0.04387011243123561,0.0001,3,23-08-25-14-30-52
42,0.044634180946275595,0.04387011243123561,0.0001,4,23-08-25-14-31-15
43,0.04394914020784199,0.04387011243123561,0.0001,5,23-08-25-14-31-37
44,0.04307465151883662,0.04307465151883662,0.0001,0,23-08-25-14-32-00
45,0.0432651201998815,0.04307465151883662,0.0001,1,23-08-25-14-32-22
46,0.04281496694777161,0.04281496694777161,0.0001,0,23-08-25-14-32-44
47,0.04224465854652226,0.04224465854652226,0.0001,0,23-08-25-14-33-07
48,0.0425068777250126,0.04224465854652226,0.0001,1,23-08-25-14-33-29
49,0.042889902874827385,0.04224465854652226,0.0001,2,23-08-25-14-33-52
50,0.04217387472093105,0.04217387472093105,0.0001,0,23-08-25-14-34-15
51,0.042390895617194474,0.04217387472093105,0.0001,1,23-08-25-14-34-37
52,0.04243574612680823,0.04217387472093105,0.0001,2,23-08-25-14-34-59
53,0.0411634871410206,0.0411634871410206,0.0001,0,23-08-25-14-35-22
54,0.04108702103700489,0.04108702103700489,0.0001,0,23-08-25-14-35-45
55,0.041246705995872615,0.04108702103700489,0.0001,1,23-08-25-14-36-07
56,0.042371977092698215,0.04108702103700489,0.0001,2,23-08-25-14-36-29
57,0.04158427911438048,0.04108702103700489,0.0001,3,23-08-25-14-36-51
58,0.04160602005943656,0.04108702103700489,0.0001,4,23-08-25-14-37-14
59,0.04098417274560779,0.04098417274560779,0.0001,0,23-08-25-14-37-36
60,0.040557802317664024,0.040557802317664024,0.0001,0,23-08-25-14-37-59
61,0.040799146491102875,0.040557802317664024,0.0001,1,23-08-25-14-38-21
62,0.0399189138058573,0.0399189138058573,0.0001,0,23-08-25-14-38-45
63,0.041611560549587014,0.0399189138058573,0.0001,1,23-08-25-14-39-07
64,0.040322970736771824,0.0399189138058573,0.0001,2,23-08-25-14-39-32
65,0.040671073080971835,0.0399189138058573,0.0001,3,23-08-25-14-39-54
66,0.04021676530037075,0.0399189138058573,0.0001,4,23-08-25-14-40-17
67,0.03971423098538071,0.03971423098538071,0.0001,0,23-08-25-14-40-39
68,0.04020746750384569,0.03971423098538071,0.0001,1,23-08-25-14-41-02
69,0.03994985954090953,0.03971423098538071,0.0001,2,23-08-25-14-41-24
70,0.03959883736819029,0.03959883736819029,0.0001,0,23-08-25-14-41-47
71,0.039557280521839856,0.039557280521839856,0.0001,0,23-08-25-14-42-09
72,0.03995414716564119,0.039557280521839856,0.0001,1,23-08-25-14-42-32
73,0.03937522160913795,0.03937522160913795,0.0001,0,23-08-25-14-42-55
74,0.0395333610791713,0.03937522160913795,0.0001,1,23-08-25-14-43-17
75,0.03969715844467282,0.03937522160913795,0.0001,2,23-08-25-14-43-39
76,0.03872844175249338,0.03872844175249338,0.0001,0,23-08-25-14-44-02
77,0.03977452319394797,0.03872844175249338,0.0001,1,23-08-25-14-44-24
78,0.03942408988252282,0.03872844175249338,0.0001,2,23-08-25-14-44-46
79,0.039324225922115146,0.03872844175249338,0.0001,3,23-08-25-14-45-08
80,0.03879636000841856,0.03872844175249338,0.0001,4,23-08-25-14-45-30
81,0.03885157616063952,0.03872844175249338,0.0001,5,23-08-25-14-45-53
82,0.03909940421301872,0.03872844175249338,0.0001,6,23-08-25-14-46-15
83,0.039172980807721615,0.03872844175249338,5e-05,7,23-08-25-14-46-37
84,0.038964097066782416,0.03872844175249338,5e-05,8,23-08-25-14-46-59
85,0.03870676094200462,0.03870676094200462,5e-05,0,23-08-25-14-47-23
86,0.03844047199096531,0.03844047199096531,5e-05,0,23-08-25-14-47-45
87,0.03866319703031331,0.03844047199096531,5e-05,1,23-08-25-14-48-07
88,0.03860888539627194,0.03844047199096531,5e-05,2,23-08-25-14-48-30
89,0.03818781960848719,0.03818781960848719,5e-05,0,23-08-25-14-48-52
90,0.038541746083647015,0.03818781960848719,5e-05,1,23-08-25-14-49-15
91,0.038634424721822144,0.03818781960848719,5e-05,2,23-08-25-14-49-37
92,0.03780264684557915,0.03780264684557915,5e-05,0,23-08-25-14-50-00
93,0.03866111816931516,0.03780264684557915,5e-05,1,23-08-25-14-50-25
94,0.03780299209617078,0.03780264684557915,5e-05,2,23-08-25-14-50-47
95,0.03846932806819677,0.03780264684557915,5e-05,3,23-08-25-14-51-09
96,0.03794984564278275,0.03780264684557915,5e-05,4,23-08-25-14-51-32
97,0.03870673741586506,0.03780264684557915,5e-05,5,23-08-25-14-51-54
98,0.03825726974289864,0.03780264684557915,5e-05,6,23-08-25-14-52-16
99,0.03832312229927629,0.03780264684557915,2.5e-05,7,23-08-25-14-52-38
100,0.038228159482590854,0.03780264684557915,2.5e-05,8,23-08-25-14-53-00
101,0.03805941330827772,0.03780264684557915,2.5e-05,9,23-08-25-14-53-23
102,0.038518253138288855,0.03780264684557915,2.5e-05,10,23-08-25-14-53-45
